,BATTING,R,4s,6s,SR
0,Ruturaj Gaikwad,30,4,2,187.50
2,Devon Conway,44,4,0,104.76
4,Ajinkya Rahane,21,1,1,123.52
6,Ambati Rayudu,12,0,1,109.09
8,Shivam Dube,26,0,3,144.44
9,MS Dhoni (c)†,2,0,0,66.66
