,BATTING,R,4s,6s,SR
0,Ruturaj Gaikwad,17,2,0,130.76
2,Devon Conway,30,3,0,107.14
4,Ajinkya Rahane,16,1,1,145.45
6,Ambati Rayudu,4,0,0,57.14
8,Shivam Dube,48,1,3,141.17
9,Moeen Ali,1,0,0,50.00
11,Ravindra Jadeja,20,0,1,83.33
13,MS Dhoni (c)†,2,0,0,66.66
