,BATTING,R,4s,6s,SR
0,Ruturaj Gaikwad,79,3,7,158.00
2,Devon Conway,87,11,3,167.30
4,Shivam Dube,22,0,3,244.44
6,MS Dhoni (c)†,5,0,0,125.00
7,Ravindra Jadeja,20,3,1,285.71
