Player Name,Overs,Maiden,Runs,Wickets,Economy,No balls,Match No
Deepak Chahar,1,0,10,0,10,0,3
Tushar Deshpande,3,0,31,2,10.33,0,3
Sisanda Magala,4,0,37,1,9.25,0,3
Mitchell Santner,4,0,28,2,7,0,3
Ravindra Jadeja,4,0,20,3,5,0,3
Dwaine Pretorius,4,0,28,0,7,0,3
