,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
0,Deepak Chahar,3,0,18,2,6.00,10,3,0,0,0
2,Tushar Deshpande,4,0,26,2,6.50,9,2,0,1,0
4,Ravindra Jadeja,4,0,37,1,9.25,5,5,0,1,0
6,Moeen Ali,1,0,10,0,10.00,2,2,0,0,0
7,Maheesh Theekshana,4,0,28,0,7.00,11,3,1,0,0
8,Matheesha Pathirana,4,0,15,3,3.75,12,0,0,0,0
