,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
0,Deepak Chahar,4,0,41,0,10.25,9,4,2,0,0
1,Tushar Deshpande,1,0,1,0,1.00,5,0,0,0,0
2,Moeen Ali,4,0,13,2,3.25,11,0,0,0,0
4,Maheesh Theekshana,4,0,37,2,9.25,7,2,2,0,0
6,Ravindra Jadeja,3,0,11,1,3.66,8,0,0,0,0
8,Matheesha Pathirana,3.2,0,22,2,6.60,6,0,0,2,0
