,BATTING,R,4s,6s,SR
0,Ruturaj Gaikwad,37,4,1,119.35
2,Devon Conway,92,16,1,176.92
3,Shivam Dube,28,1,2,164.7
5,Moeen Ali,10,2,0,166.66
7,Ravindra Jadeja,12,0,0,120
9,MS Dhoni (c)†,13,0,2,325
