Player Name,Runs,Boundaries,Sixes,Strike rate,Match No,,,
Devon Conway,1,0,0,16.66,1,,,
Ruturaj Gaikwad,92,4,9,184,1,,,Impact player= Tushar Deshpande
Moeen Ali,23,4,1,135.29,1,,,Toss = lost
Ben Stokes,7,1,0,116.66,1,,,Match = Lost
Ambati Rayudu,12,0,1,100,1,,,
Shivam Dube,19,0,1,105.55,1,,,
Ravindra Jadeja,1,0,0,50,1,,,
MS Dhoni,14,1,1,200,1,,,
