,BATTING,R,4s,6s,SR
0,Ruturaj Gaikwad,47,5,1,162.06
2,Devon Conway,8,1,0,50
4,Ajinkya Rahane,15,0,0,115.38
6,Shivam Dube,52,2,4,157.57
8,Ambati Rayudu,0,0,0,0
10,Moeen Ali,23,2,2,191.66
12,Ravindra Jadeja,23,3,0,153.33
