,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
0,Deepak Chahar,3,0,27,3,9.00,7,3,1,2,0
2,Tushar Deshpande,3.3,0,25,0,7.14,11,2,1,2,0
3,Moeen Ali,4,0,31,0,7.75,8,5,0,0,0
4,Maheesh Theekshana,3,0,22,0,7.33,3,2,0,0,0
5,Matheesha Pathirana,3,0,23,0,7.66,8,1,0,2,1
6,Ravindra Jadeja,2,0,18,0,9.00,4,0,2,0,0
