Player Name,Runs,Boundaries,Sixes,Strike rate,Match,,,
Ruturaj Gaikwad,8,1,0,80,4,,,
Devon Conway,50,6,0,131.57,4,,,Impact player : Ambati Rayudu 
Ajinkya Rahane,31,2,1,163.15,4,,,Toss: Won
Shivam Dube,8,1,0,88.88,4,,,Match : Lost
Moeen Ali,7,0,0,70,4,,,
Ambati Rayudu,1,0,0,50,4,,,
Ravindra Jadeja,25,1,2,166.66,4,,,
MS Dhoni ,32,1,3,188.23,4,,,
