,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
0,Deepak Chahar,4,0,22,3,5.50,14,2,1,0,0
2,Tushar Deshpande,4,0,26,1,6.50,12,4,0,1,0
4,Maheesh Theekshana,4,1,23,2,5.75,11,1,1,0,0
6,Ravindra Jadeja,4,0,50,1,12.50,4,3,4,1,0
8,Matheesha Pathirana,4,0,22,2,5.50,11,1,0,5,0
