,BATTING,R,4s,6s,SR
0,Ruturaj Gaikwad,35,2,0,116.66
2,Devon Conway,77,12,1,135.08
3,Ajinkya Rahane,9,0,0,90
5,Ambati Rayudu,9,1,0,100
7,Moeen Ali,6,1,0,100
